Symbol,Name,Sector,Price,Dividend Yield,Price/Earnings,Earnings/Share,Book Value,52 week low,52 week high,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings
MMM,3M Company,Industrials,168.94,2.63,21.72,7.78,19.34,134.00,171.93,102.46,8.57,3.42,8.78,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MMM
ABT,Abbott Laboratories,Health Care,37.39,2.78,23.02,1.62,14.10,36.00,51.74,54.93,4.40,2.70,2.66,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABT
ABBV,AbbVie,Health Care,60.01,3.80,18.04,3.33,2.87,45.45,71.60,97.06,10.30,4.14,21.21,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABBV
ACN,Accenture plc,Information Technology,117.57,1.87,20.47,5.74,10.92,88.43,120.15,73.34,5.28,2.33,10.83,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ACN
ATVI,Activision Blizzard,Information Technology,38.08,0.68,34.18,1.11,11.31,24.04,39.99,28.11,1.59,5.95,3.45,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ATVI
AYI,Acuity Brands Inc,Industrials,244.58,0.21,41.39,5.91,34.33,168.33,264.00,10.64,0.49939999999999996,3.64,7.21,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AYI
ADBE,Adobe Systems Inc,Information Technology,95.58,0.00,60.88,1.57,14.14,71.27,100.56,47.81,1.38,9.59,6.87,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADBE
AAP,Advance Auto Parts,Consumer Discretionary,154.55,0.16,23.63,6.54,35.82,131.59,201.24,11.34,1.24,1.17,4.30,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AAP
AES,AES Corp,Utilities,11.61,3.79,27.32,0.43,4.86,8.22,14.02,7.65,3.57,0.51,2.32,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AES
AET,Aetna Inc,Health Care,121.10,0.83,18.24,6.64,47.96,92.42,134.40,42.46,5.40,0.70,2.54,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AET
AMG,Affiliated Managers Group Inc,Financials,151.72,,16.99,8.93,53.30,115.97,229.12,8.16,0.916,3.42,2.85,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMG
AFL,AFLAC Inc,Financials,68.79,2.38,11.33,6.07,48.22,51.41,70.09,28.48,4.49,1.35,1.43,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AFL
A,Agilent Technologies Inc,Health Care,45.36,1.01,32.26,1.41,12.79,33.12,46.18,14.77,0.844,3.61,3.55,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=A
GAS,AGL Resources Inc.,Utilities,65.92,3.22,23.24,2.84,33.41,46.36,66.49,7.96,1.19,2.23,1.97,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GAS
APD,Air Products & Chemicals Inc,Materials,143.31,2.40,56.58,2.53,32.01,114.64,152.16,30.97,2.98,3.27,4.51,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APD
AKAM,Akamai Technologies Inc,Information Technology,53.19,,30.05,1.77,17.69,39.43,76.98,9.34,0.6981,4.21,3.04,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AKAM
ALK,Alaska Air Group Inc,Industrials,59.88,1.84,8.65,6.92,19.81,58.92,87.17,7.38,1.72,1.31,3.05,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALK
AA,Alcoa Inc,Materials,9.58,1.25,,-0.44,9.25,6.14,12.00,12.60,2.67,0.57,1.01,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AA
ALXN,Alexion Pharmaceuticals,Health Care,125.20,,189.41,0.66,35.96,124.16,208.88,28.05,0.97872,10.56,3.55,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALXN
ALLE,Allegion,Industrials,67.69,0.71,39.40,1.72,0.77,52.95,69.10,6.48,0.4506,3.09,88.57,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALLE
AGN,Allergan plc,Health Care,235.05,0.10,21.03,11.18,183.41,195.50,340.34,92.98,6.57,5.76,1.29,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AGN
ADS,Alliance Data Systems,Information Technology,207.22,,23.35,8.87,29.51,176.63,307.78,12.21,1.52,1.87,7.00,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADS
ALL,Allstate Corp,Financials,66.42,1.99,16.21,4.10,49.58,54.12,69.48,24.87,3.26,0.70,1.34,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALL
GOOGL,Alphabet Inc Class A,Information Technology,704.25,,28.66,24.58,179.92,539.54,810.35,483.51,25.51,6.38,4.03,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GOOGL
